part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,96,16th,False,False,False,False
P1,1,B,B,,3,96,16th,False,False,False,False
P1,1,G#,G,1,3,96,16th,False,False,False,False
P1,1,B,B,,3,96,16th,False,False,False,False
P1,1,E,E,,4,96,16th,False,False,False,False
P1,1,G#,G,1,4,240,eighth,False,False,False,False
P1,1,B,B,,4,240,eighth,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,1,E,E,,3,480,quarter,False,False,False,False
P1,1,E,E,,3,96,16th,False,False,False,False
P1,1,B,B,,2,96,16th,False,False,False,False
P1,1,G#,G,1,2,96,16th,False,False,False,False
P1,1,B,B,,2,96,16th,False,False,False,False
P1,1,E,E,,3,96,16th,False,False,False,False
P1,1,G#,G,1,3,240,eighth,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,,,,,480,quarter,False,True,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D#,D,1,4,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,F#,F,1,4,240,eighth,False,False,False,False
P1,2,B,B,,3,240,eighth,False,False,False,False
P1,2,D,D,,4,240,eighth,False,False,False,False
P1,2,G#,G,1,4,240,eighth,False,False,False,False
P1,2,A,A,,3,480,quarter,False,False,False,False
P1,2,C#,C,1,4,480,quarter,False,False,False,False
P1,2,A,A,,4,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,2,B,B,,2,240,eighth,False,False,False,False
P1,2,C#,C,1,3,240,eighth,False,False,False,False
P1,2,D#,D,1,3,240,eighth,False,False,False,False
P1,2,E#,E,1,3,240,eighth,False,False,False,False
P1,2,F#,F,1,3,480,quarter,False,False,False,False
P1,2,,,,,480,quarter,False,True,False,False
P1,3,A,A,,4,480,quarter,False,False,False,False
P1,3,A,A,,4,96,16th,False,False,False,False
P1,3,E,E,,4,96,16th,False,False,False,False
P1,3,C#,C,1,4,96,16th,False,False,False,False
P1,3,E,E,,4,96,16th,False,False,False,False
P1,3,A,A,,4,96,16th,False,False,False,False
P1,3,C#,C,1,5,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,A,A,,3,480,quarter,False,False,False,False
P1,3,A,A,,3,96,16th,False,False,False,False
P1,3,E,E,,3,96,16th,False,False,False,False
P1,3,C#,C,1,3,96,16th,False,False,False,False
P1,3,E,E,,3,96,16th,False,False,False,False
P1,3,A,A,,3,96,16th,False,False,False,False
P1,3,C#,C,1,4,240,eighth,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,G#,G,1,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,A,A,,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,A#,A,1,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,B,B,,4,240,eighth,False,False,False,False
P1,4,D#,D,1,4,480,quarter,False,False,False,False
P1,4,B,B,,4,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,E,E,,3,240,eighth,False,False,False,False
P1,4,F#,F,1,3,240,eighth,False,False,False,False
P1,4,F##,F,2,3,240,eighth,False,False,False,False
P1,4,G#,G,1,2,240,eighth,False,False,False,False
P1,4,G#,G,1,3,240,eighth,False,False,False,False
P1,4,B,B,,2,480,quarter,False,False,False,False
P1,4,F#,F,1,3,480,quarter,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,5,E,E,,4,480,quarter,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,B,B,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,E,E,,4,96,16th,False,False,False,False
P1,5,G#,G,1,4,96,16th,False,False,False,False
P1,5,B,B,,4,96,16th,False,False,False,False
P1,5,E,E,,3,480,quarter,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,B,B,,2,96,16th,False,False,False,False
P1,5,G#,G,1,2,96,16th,False,False,False,False
P1,5,B,B,,2,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,B,B,,2,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,E,E,,3,96,16th,False,False,False,False
P1,5,G#,G,1,3,96,16th,False,False,False,False
P1,5,B,B,,3,96,16th,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,G#,G,1,5,240,eighth,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,G#,G,1,5,240,eighth,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,A,A,,5,240,eighth,False,False,False,False
P1,6,E,E,,5,240,eighth,False,False,False,False
P1,6,A#,A,1,5,240,eighth,False,False,False,False
P1,6,E#,E,1,5,240,eighth,False,False,False,False
P1,6,B,B,,5,240,eighth,False,False,False,False
P1,6,E,E,,4,240,eighth,False,False,False,False
P1,6,G#,G,1,4,240,eighth,False,False,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,E,E,,4,240,eighth,False,False,False,False
P1,6,F#,F,1,4,240,eighth,False,False,False,False
P1,6,F##,F,2,4,240,eighth,False,False,False,False
P1,6,C#,C,1,4,240,eighth,False,False,False,False
P1,6,G#,G,1,4,240,eighth,False,False,False,False
P1,7,F#,F,1,4,480,quarter,False,False,False,False
P1,7,F#,F,1,4,96,16th,False,False,False,False
P1,7,C#,C,1,4,96,16th,False,False,False,False
P1,7,A,A,,3,96,16th,False,False,False,False
P1,7,C#,C,1,4,96,16th,False,False,False,False
P1,7,F#,F,1,4,96,16th,False,False,False,False
P1,7,A,A,,4,96,16th,False,False,False,False
P1,7,F#,F,1,4,96,16th,False,False,False,False
P1,7,C#,C,1,4,96,16th,False,False,False,False
P1,7,F#,F,1,4,96,16th,False,False,False,False
P1,7,A,A,,4,96,16th,False,False,False,False
P1,7,C#,C,1,5,96,16th,False,False,False,False
P1,7,A,A,,4,96,16th,False,False,False,False
P1,7,F#,F,1,4,96,16th,False,False,False,False
P1,7,A,A,,4,96,16th,False,False,False,False
P1,7,C#,C,1,5,96,16th,False,False,False,False
P1,7,F#,F,1,3,480,quarter,False,False,False,False
P1,7,F#,F,1,3,96,16th,False,False,False,False
P1,7,C#,C,1,3,96,16th,False,False,False,False
P1,7,A,A,,2,96,16th,False,False,False,False
P1,7,C#,C,1,3,96,16th,False,False,False,False
P1,7,F#,F,1,3,96,16th,False,False,False,False
P1,7,A,A,,3,96,16th,False,False,False,False
P1,7,F#,F,1,3,96,16th,False,False,False,False
P1,7,C#,C,1,3,96,16th,False,False,False,False
P1,7,F#,F,1,3,96,16th,False,False,False,False
P1,7,A,A,,3,96,16th,False,False,False,False
P1,7,C#,C,1,4,96,16th,False,False,False,False
P1,7,A,A,,3,96,16th,False,False,False,False
P1,7,F#,F,1,3,96,16th,False,False,False,False
P1,7,A,A,,3,96,16th,False,False,False,False
P1,7,C#,C,1,4,96,16th,False,False,False,False
P1,8,F#,F,1,5,240,eighth,False,False,False,False
P1,8,A,A,,5,240,eighth,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,F#,F,1,5,240,eighth,False,False,False,False
P1,8,A,A,,5,240,eighth,False,False,False,False
P1,8,F#,F,1,5,240,eighth,False,False,False,False
P1,8,B,B,,5,240,eighth,False,False,False,False
P1,8,F#,F,1,5,240,eighth,False,False,False,False
P1,8,B#,B,1,5,240,eighth,False,False,False,False
P1,8,F##,F,2,5,240,eighth,False,False,False,False
P1,8,C#,C,1,6,240,eighth,False,False,False,False
P1,8,F#,F,1,4,240,eighth,False,False,False,False
P1,8,A,A,,4,240,eighth,False,False,False,False
P1,8,,,,,480,quarter,False,True,False,False
P1,8,F#,F,1,4,240,eighth,False,False,False,False
P1,8,G#,G,1,4,240,eighth,False,False,False,False
P1,8,A,A,,4,240,eighth,False,False,False,False
P1,8,D#,D,1,4,240,eighth,False,False,False,False
P1,8,A#,A,1,4,240,eighth,False,False,False,False
P1,9,G#,G,1,4,480,quarter,False,False,False,False
P1,9,G#,G,1,4,96,16th,False,False,False,False
P1,9,D#,D,1,4,96,16th,False,False,False,False
P1,9,B,B,,3,96,16th,False,False,False,False
P1,9,D#,D,1,4,96,16th,False,False,False,False
P1,9,G#,G,1,4,96,16th,False,False,False,False
P1,9,B,B,,4,96,16th,False,False,False,False
P1,9,G#,G,1,4,96,16th,False,False,False,False
P1,9,D#,D,1,4,96,16th,False,False,False,False
P1,9,G#,G,1,4,96,16th,False,False,False,False
P1,9,B,B,,4,96,16th,False,False,False,False
P1,9,D#,D,1,5,96,16th,False,False,False,False
P1,9,B,B,,4,96,16th,False,False,False,False
P1,9,G#,G,1,4,96,16th,False,False,False,False
P1,9,B,B,,4,96,16th,False,False,False,False
P1,9,D#,D,1,5,96,16th,False,False,False,False
P1,9,G#,G,1,3,480,quarter,False,False,False,False
P1,9,G#,G,1,3,96,16th,False,False,False,False
P1,9,D#,D,1,3,96,16th,False,False,False,False
P1,9,B,B,,2,96,16th,False,False,False,False
P1,9,D#,D,1,3,96,16th,False,False,False,False
P1,9,G#,G,1,3,96,16th,False,False,False,False
P1,9,B,B,,3,96,16th,False,False,False,False
P1,9,G#,G,1,3,96,16th,False,False,False,False
P1,9,D#,D,1,3,96,16th,False,False,False,False
P1,9,G#,G,1,3,96,16th,False,False,False,False
P1,9,B,B,,3,96,16th,False,False,False,False
P1,9,D#,D,1,4,96,16th,False,False,False,False
P1,9,B,B,,3,96,16th,False,False,False,False
P1,9,G#,G,1,3,96,16th,False,False,False,False
P1,9,B,B,,3,96,16th,False,False,False,False
P1,9,D#,D,1,4,96,16th,False,False,False,False
P1,10,G#,G,1,5,240,eighth,False,False,False,False
P1,10,B,B,,5,240,eighth,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,960,half,False,True,False,False
P1,10,G#,G,1,4,240,eighth,False,False,False,False
P1,10,B,B,,4,240,eighth,False,False,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,,,,,480,quarter,False,True,False,False
P1,10,B,B,,1,240,eighth,False,False,False,False
P1,10,C#,C,1,2,240,eighth,False,False,False,False
P1,10,D,D,,2,240,eighth,False,False,False,False
P1,10,D#,D,1,2,240,eighth,False,False,False,False
P1,11,,,,,960,half,False,True,False,False
P1,11,G#,G,1,4,240,eighth,False,False,False,False
P1,11,A,A,,4,240,eighth,False,False,False,False
P1,11,A#,A,1,4,240,eighth,False,False,False,False
P1,11,B,B,,4,240,eighth,False,False,False,False
P1,11,G#,G,1,3,240,eighth,False,False,False,False
P1,11,A#,A,1,3,240,eighth,False,False,False,False
P1,11,B,B,,3,240,eighth,False,False,False,False
P1,11,B#,B,1,3,240,eighth,False,False,False,False
P1,11,C#,C,1,4,720,quarter,True,False,False,False
P1,11,D,D,,4,240,eighth,False,False,False,False
P1,11,E,E,,2,960,half,False,False,False,False
P1,11,E#,E,1,2,960,half,False,False,False,False
P1,12,D#,D,1,4,240,eighth,False,False,False,False
P1,12,B,B,,4,240,eighth,False,False,False,False
P1,12,E,E,,4,240,eighth,False,False,False,False
P1,12,C#,C,1,5,240,eighth,False,False,False,False
P1,12,E#,E,1,4,240,eighth,False,False,False,False
P1,12,C##,C,2,5,240,eighth,False,False,False,False
P1,12,F#,F,1,4,240,eighth,False,False,False,False
P1,12,D#,D,1,5,240,eighth,False,False,False,False
P1,12,F##,F,2,4,240,eighth,False,False,False,False
P1,12,D#,D,1,5,240,eighth,False,False,False,False
P1,12,G#,G,1,4,240,eighth,False,False,False,False
P1,12,E,E,,5,240,eighth,False,False,False,False
P1,12,A,A,,4,240,eighth,False,False,False,False
P1,12,E#,E,1,5,240,eighth,False,False,False,False
P1,12,A#,A,1,4,240,eighth,False,False,False,False
P1,12,F#,F,1,5,240,eighth,False,False,False,False
P1,12,,,,,480,quarter,False,True,False,False
P1,12,,,,,240,eighth,False,True,False,False
P1,12,B,B,,3,240,eighth,False,False,False,False
P1,12,A#,A,1,3,240,eighth,False,False,False,False
P1,12,G#,G,1,3,240,eighth,False,False,False,False
P1,12,C#,C,1,4,240,eighth,False,False,False,False
P1,12,E,E,,4,240,eighth,False,False,False,False
P1,12,F#,F,1,2,480,quarter,False,False,False,False
P1,12,F#,F,1,3,1440,half,True,False,False,False
P1,13,B,B,,4,240,eighth,False,False,False,False
P1,13,B#,B,1,4,240,eighth,False,False,False,False
P1,13,C#,C,1,5,240,eighth,False,False,False,False
P1,13,C##,C,2,5,240,eighth,False,False,False,False
P1,13,D#,D,1,5,240,eighth,False,False,False,False
P1,13,E,E,,5,240,eighth,False,False,False,False
P1,13,E#,E,1,5,240,eighth,False,False,False,False
P1,13,F#,F,1,5,240,eighth,False,False,False,False
P1,13,,,,,1920,whole,False,True,False,False
P1,13,G#,G,1,3,480,quarter,False,False,False,False
P1,13,B,B,,3,480,quarter,False,False,False,False
P1,13,,,,,480,quarter,False,True,False,False
P1,13,,,,,960,half,False,True,False,False
P1,14,G#,G,1,5,960,half,False,False,False,False
P1,14,G#,G,1,5,240,eighth,False,False,False,False
P1,14,A,A,,5,240,eighth,False,False,False,False
P1,14,A#,A,1,5,240,eighth,False,False,False,False
P1,14,B,B,,5,240,eighth,False,False,False,False
P1,14,G#,G,1,4,240,eighth,False,False,False,False
P1,14,A#,A,1,4,240,eighth,False,False,False,False
P1,14,B,B,,4,240,eighth,False,False,False,False
P1,14,B#,B,1,4,240,eighth,False,False,False,False
P1,14,C#,C,1,5,720,quarter,True,False,False,False
P1,14,D,D,,5,240,eighth,False,False,False,False
P1,14,E,E,,3,960,half,False,False,False,False
P1,14,E#,E,1,3,960,half,False,False,False,False
P1,14,,,,,1920,whole,False,True,False,False
P1,15,B,B,,5,240,eighth,False,False,False,False
P1,15,C#,C,1,6,240,eighth,False,False,False,False
P1,15,C##,C,2,6,240,eighth,False,False,False,False
P1,15,D#,D,1,6,240,eighth,False,False,False,False
P1,15,D#,D,1,6,240,eighth,False,False,False,False
P1,15,E,E,,6,240,eighth,False,False,False,False
P1,15,E#,E,1,6,240,eighth,False,False,False,False
P1,15,F#,F,1,6,240,eighth,False,False,False,False
P1,15,D#,D,1,5,240,eighth,False,False,False,False
P1,15,E,E,,5,240,eighth,False,False,False,False
P1,15,E#,E,1,5,240,eighth,False,False,False,False
P1,15,F#,F,1,5,240,eighth,False,False,False,False
P1,15,F##,F,2,5,240,eighth,False,False,False,False
P1,15,G#,G,1,5,240,eighth,False,False,False,False
P1,15,A,A,,5,240,eighth,False,False,False,False
P1,15,A#,A,1,5,240,eighth,False,False,False,False
P1,15,F#,F,1,3,480,quarter,False,False,False,False
P1,15,,,,,240,eighth,False,True,False,False
P1,15,B,B,,4,240,eighth,False,False,False,False
P1,15,A#,A,1,4,240,eighth,False,False,False,False
P1,15,G#,G,1,4,240,eighth,False,False,False,False
P1,15,C#,C,1,5,240,eighth,False,False,False,False
P1,15,E,E,,5,240,eighth,False,False,False,False
P1,15,,,,,480,quarter,False,True,False,False
P1,15,F#,F,1,4,1440,half,True,False,False,False
P1,16,,,,,1920,whole,False,True,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,D,D,,4,240,eighth,False,False,False,False
P1,16,F#,F,1,4,240,eighth,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,B,B,,3,480,quarter,False,False,False,False
P1,16,B,B,,3,96,16th,False,False,False,False
P1,16,F#,F,1,3,96,16th,False,False,False,False
P1,16,D,D,,3,96,16th,False,False,False,False
P1,16,F#,F,1,3,96,16th,False,False,False,False
P1,16,B,B,,3,96,16th,False,False,False,False
P1,16,D,D,,3,240,eighth,False,False,False,False
P1,16,F#,F,1,3,240,eighth,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,B,B,,2,480,quarter,False,False,False,False
P1,16,B,B,,2,96,16th,False,False,False,False
P1,16,F#,F,1,2,96,16th,False,False,False,False
P1,16,D,D,,2,96,16th,False,False,False,False
P1,16,F#,F,1,2,96,16th,False,False,False,False
P1,16,B,B,,2,96,16th,False,False,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,16,,,,,480,quarter,False,True,False,False
P1,17,,,,,240,eighth,False,True,False,False
P1,17,F#,F,1,5,120,16th,False,False,False,False
P1,17,E,E,,5,120,16th,False,False,False,False
P1,17,E,E,,5,120,16th,False,False,False,False
P1,17,D,D,,5,120,16th,False,False,False,False
P1,17,D,D,,5,120,16th,False,False,False,False
P1,17,C#,C,1,5,120,16th,False,False,False,False
P1,17,C#,C,1,5,120,16th,False,False,False,False
P1,17,B,B,,4,120,16th,False,False,False,False
P1,17,B,B,,4,120,16th,False,False,False,False
P1,17,A#,A,1,4,120,16th,False,False,False,False
P1,17,A#,A,1,4,120,16th,False,False,False,False
P1,17,B,B,,4,120,16th,False,False,False,False
P1,17,B,B,,4,120,16th,False,False,False,False
P1,17,F#,F,1,4,120,16th,False,False,False,False
P1,17,B,B,,3,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,F#,F,1,4,240,eighth,False,False,False,False
P1,17,,,,,480,quarter,False,True,False,False
P1,17,B,B,,3,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,D,D,,4,240,eighth,False,False,False,False
P1,17,F#,F,1,4,240,eighth,False,False,False,False
P1,17,,,,,480,quarter,False,True,False,False
P1,18,A,A,,4,120,16th,False,False,False,False
P1,18,G,G,,4,120,16th,False,False,False,False
P1,18,G,G,,5,120,16th,False,False,False,False
P1,18,F#,F,1,5,120,16th,False,False,False,False
P1,18,F#,F,1,5,120,16th,False,False,False,False
P1,18,E,E,,5,120,16th,False,False,False,False
P1,18,E,E,,5,120,16th,False,False,False,False
P1,18,D,D,,5,120,16th,False,False,False,False
P1,18,D,D,,5,120,16th,False,False,False,False
P1,18,C#,C,1,5,120,16th,False,False,False,False
P1,18,C#,C,1,5,120,16th,False,False,False,False
P1,18,D,D,,5,120,16th,False,False,False,False
P1,18,D,D,,5,120,16th,False,False,False,False
P1,18,G#,G,1,5,120,16th,False,False,False,False
P1,18,G#,G,1,5,120,16th,False,False,False,False
P1,18,C#,C,1,5,120,16th,False,False,False,False
P1,18,E,E,,3,240,eighth,False,False,False,False
P1,18,G,G,,3,240,eighth,False,False,False,False
P1,18,G,G,,3,240,eighth,False,False,False,False
P1,18,B,B,,3,240,eighth,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,18,E#,E,1,3,240,eighth,False,False,False,False
P1,18,G#,G,1,3,240,eighth,False,False,False,False
P1,18,G#,G,1,3,240,eighth,False,False,False,False
P1,18,B,B,,3,240,eighth,False,False,False,False
P1,18,,,,,480,quarter,False,True,False,False
P1,19,C#,C,1,5,120,16th,False,False,False,False
P1,19,C#,C,1,6,120,16th,False,False,False,False
P1,19,C#,C,1,6,120,16th,False,False,False,False
P1,19,B,B,,5,120,16th,False,False,False,False
P1,19,B,B,,5,120,16th,False,False,False,False
P1,19,A#,A,1,5,120,16th,False,False,False,False
P1,19,A#,A,1,5,120,16th,False,False,False,False
P1,19,A,A,,5,120,16th,False,False,False,False
P1,19,A,A,,5,120,16th,False,False,False,False
P1,19,F#,F,1,5,120,16th,False,False,False,False
P1,19,F#,F,1,5,120,16th,False,False,False,False
P1,19,E,E,,5,120,16th,False,False,False,False
P1,19,E,E,,5,120,16th,False,False,False,False
P1,19,D,D,,5,120,16th,False,False,False,False
P1,19,D,D,,5,120,16th,False,False,False,False
P1,19,C#,C,1,5,120,16th,False,False,False,False
P1,19,F#,F,1,3,240,eighth,False,False,False,False
P1,19,A#,A,1,3,240,eighth,False,False,False,False
P1,19,C#,C,1,4,240,eighth,False,False,False,False
P1,19,E,E,,4,240,eighth,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,19,F#,F,1,3,240,eighth,False,False,False,False
P1,19,A#,A,1,3,240,eighth,False,False,False,False
P1,19,C#,C,1,4,240,eighth,False,False,False,False
P1,19,E,E,,4,240,eighth,False,False,False,False
P1,19,,,,,480,quarter,False,True,False,False
P1,20,C#,C,1,5,120,16th,False,False,False,False
P1,20,B,B,,4,120,16th,False,False,False,False
P1,20,B,B,,4,120,16th,False,False,False,False
P1,20,G,G,,4,120,16th,False,False,False,False
P1,20,G,G,,4,120,16th,False,False,False,False
P1,20,D,D,,4,120,16th,False,False,False,False
P1,20,D,D,,4,120,16th,False,False,False,False
P1,20,B,B,,3,120,16th,False,False,False,False
P1,20,B,B,,3,120,16th,False,False,False,False
P1,20,G,G,,4,120,16th,False,False,False,False
P1,20,G,G,,4,120,16th,False,False,False,False
P1,20,B,B,,3,120,16th,False,False,False,False
P1,20,A#,A,1,3,120,16th,False,False,False,False
P1,20,F#,F,1,4,120,16th,False,False,False,False
P1,20,F#,F,1,4,120,16th,False,False,False,False
P1,20,A#,A,1,3,120,16th,False,False,False,False
P1,20,G,G,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,B,B,,3,240,eighth,False,False,False,False
P1,20,D,D,,4,240,eighth,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,20,D,D,,3,240,eighth,False,False,False,False
P1,20,E,E,,3,240,eighth,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,20,F#,F,1,3,240,eighth,False,False,False,False
P1,20,,,,,240,eighth,False,True,False,False
P1,21,B,B,,3,240,eighth,False,False,False,False
P1,21,D,D,,4,240,eighth,False,False,False,False
P1,21,B,B,,4,240,eighth,False,False,False,False
P1,21,D,D,,4,240,eighth,False,False,False,False
P1,21,B,B,,4,240,eighth,False,False,False,False
P1,21,D,D,,5,240,eighth,False,False,False,False
P1,21,,,,,480,quarter,False,True,False,False
P1,21,B,B,,3,240,eighth,False,False,False,False
P1,21,D,D,,4,240,eighth,False,False,False,False
P1,21,B,B,,4,240,eighth,False,False,False,False
P1,21,D,D,,4,240,eighth,False,False,False,False
P1,21,B,B,,4,240,eighth,False,False,False,False
P1,21,D,D,,5,240,eighth,False,False,False,False
P1,21,,,,,480,quarter,False,True,False,False
P1,21,,,,,240,eighth,False,True,False,False
P1,21,B,B,,1,120,16th,False,False,False,False
P1,21,C#,C,1,2,120,16th,False,False,False,False
P1,21,C#,C,1,2,120,16th,False,False,False,False
P1,21,D,D,,2,120,16th,False,False,False,False
P1,21,D,D,,2,120,16th,False,False,False,False
P1,21,E,E,,2,120,16th,False,False,False,False
P1,21,E,E,,2,120,16th,False,False,False,False
P1,21,E#,E,1,2,120,16th,False,False,False,False
P1,21,E#,E,1,2,120,16th,False,False,False,False
P1,21,F#,F,1,2,120,16th,False,False,False,False
P1,21,F#,F,1,2,120,16th,False,False,False,False
P1,21,G,G,,2,120,16th,False,False,False,False
P1,21,G,G,,2,120,16th,False,False,False,False
P1,21,F#,F,1,2,120,16th,False,False,False,False
P1,22,E,E,,4,240,eighth,False,False,False,False
P1,22,G,G,,4,240,eighth,False,False,False,False
P1,22,E,E,,5,240,eighth,False,False,False,False
P1,22,G,G,,4,240,eighth,False,False,False,False
P1,22,E,E,,5,240,eighth,False,False,False,False
P1,22,G,G,,5,240,eighth,False,False,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,22,E,E,,4,240,eighth,False,False,False,False
P1,22,G,G,,4,240,eighth,False,False,False,False
P1,22,E,E,,5,240,eighth,False,False,False,False
P1,22,G,G,,4,240,eighth,False,False,False,False
P1,22,E,E,,5,240,eighth,False,False,False,False
P1,22,G,G,,5,240,eighth,False,False,False,False
P1,22,,,,,480,quarter,False,True,False,False
P1,22,F#,F,1,2,120,16th,False,False,False,False
P1,22,E,E,,2,120,16th,False,False,False,False
P1,22,E,E,,2,120,16th,False,False,False,False
P1,22,F#,F,1,2,120,16th,False,False,False,False
P1,22,F#,F,1,2,120,16th,False,False,False,False
P1,22,G,G,,2,120,16th,False,False,False,False
P1,22,G,G,,2,120,16th,False,False,False,False
P1,22,A,A,,2,120,16th,False,False,False,False
P1,22,A,A,,2,120,16th,False,False,False,False
P1,22,B,B,,2,120,16th,False,False,False,False
P1,22,B,B,,2,120,16th,False,False,False,False
P1,22,C,C,,3,120,16th,False,False,False,False
P1,22,C,C,,3,120,16th,False,False,False,False
P1,22,B,B,,2,120,16th,False,False,False,False
P1,22,B,B,,2,120,16th,False,False,False,False
P1,22,A#,A,1,2,120,16th,False,False,False,False
P1,23,G#,G,1,4,240,eighth,False,False,False,False
P1,23,E,E,,5,240,eighth,False,False,False,False
P1,23,G#,G,1,5,240,eighth,False,False,False,False
P1,23,B,B,,4,240,eighth,False,False,False,False
P1,23,G#,G,1,5,240,eighth,False,False,False,False
P1,23,B,B,,5,240,eighth,False,False,False,False
P1,23,,,,,480,quarter,False,True,False,False
P1,23,F#,F,1,4,240,eighth,False,False,False,False
P1,23,D#,D,1,5,240,eighth,False,False,False,False
P1,23,F#,F,1,5,240,eighth,False,False,False,False
P1,23,B,B,,4,240,eighth,False,False,False,False
P1,23,D#,D,1,5,240,eighth,False,False,False,False
P1,23,B,B,,5,240,eighth,False,False,False,False
P1,23,,,,,480,quarter,False,True,False,False
P1,23,A#,A,1,2,120,16th,False,False,False,False
P1,23,B,B,,2,120,16th,False,False,False,False
P1,23,B,B,,2,120,16th,False,False,False,False
P1,23,E,E,,3,120,16th,False,False,False,False
P1,23,E,E,,3,120,16th,False,False,False,False
P1,23,F#,F,1,3,120,16th,False,False,False,False
P1,23,F#,F,1,3,120,16th,False,False,False,False
P1,23,G#,G,1,3,120,16th,False,False,False,False
P1,23,G#,G,1,3,120,16th,False,False,False,False
P1,23,A,A,,3,120,16th,False,False,False,False
P1,23,A,A,,3,120,16th,False,False,False,False
P1,23,A#,A,1,3,120,16th,False,False,False,False
P1,23,A#,A,1,3,120,16th,False,False,False,False
P1,23,B,B,,3,120,16th,False,False,False,False
P1,23,B,B,,3,120,16th,False,False,False,False
P1,23,E,E,,3,120,16th,False,False,False,False
P1,24,E,E,,5,480,quarter,False,False,False,False
P1,24,E,E,,5,96,16th,False,False,False,False
P1,24,G#,G,1,5,96,16th,False,False,False,False
P1,24,B,B,,5,96,16th,False,False,False,False
P1,24,G#,G,1,5,96,16th,False,False,False,False
P1,24,E,E,,5,96,16th,False,False,False,False
P1,24,B,B,,4,480,quarter,False,False,False,False
